month,weekday,member_casual,trip_length,quarter
February,Friday,casual,8.183333333,1
February,Friday,member,6.95,1
February,Monday,casual,8.7,1
February,Monday,member,7.233333333,1
February,Saturday,casual,10.83333333,1
February,Saturday,member,7.966666667,1
February,Sunday,casual,13.05,1
February,Sunday,member,8.416666667,1
February,Thursday,casual,7.433333333,1
February,Thursday,member,7,1
February,Tuesday,casual,7.783333333,1
February,Tuesday,member,7.2,1
February,Wednesday,casual,7.35,1
February,Wednesday,member,7.1,1
January,Friday,casual,7.5,1
January,Friday,member,7.016666667,1
January,Monday,casual,8.366666667,1
January,Monday,member,7.033333333,1
January,Saturday,casual,8.716666667,1
January,Saturday,member,7.283333333,1
January,Sunday,casual,10.26666667,1
January,Sunday,member,7.583333333,1
January,Thursday,casual,7.5,1
January,Thursday,member,7.116666667,1
January,Tuesday,casual,7.875,1
January,Tuesday,member,7.233333333,1
January,Wednesday,casual,7.783333333,1
January,Wednesday,member,7.366666667,1
March,Friday,casual,9.033333333,1
March,Friday,member,7.133333333,1
March,Monday,casual,8.6,1
March,Monday,member,7.183333333,1
March,Saturday,casual,10.26666667,1
March,Saturday,member,7.766666667,1
March,Sunday,casual,11.2,1
March,Sunday,member,7.75,1
March,Thursday,casual,8.4,1
March,Thursday,member,7.4,1
March,Tuesday,casual,9.266666667,1
March,Tuesday,member,7.566666667,1
March,Wednesday,casual,8.95,1
March,Wednesday,member,7.566666667,1
April,Friday,casual,12.26666667,2
April,Friday,member,8.383333333,2
April,Monday,casual,10.21666667,2
April,Monday,member,7.55,2
April,Saturday,casual,14.96666667,2
April,Saturday,member,9.133333333,2
April,Sunday,casual,13.28333333,2
April,Sunday,member,8.383333333,2
April,Thursday,casual,11.5,2
April,Thursday,member,8.566666667,2
April,Tuesday,casual,10.88333333,2
April,Tuesday,member,8.133333333,2
April,Wednesday,casual,11.05,2
April,Wednesday,member,8.3,2
June,Friday,casual,13.36666667,2
June,Friday,member,9.58333333,2
June,Monday,casual,12.61666667,2
June,Monday,member,9.066666667,2
June,Saturday,casual,15.83333333,2
June,Saturday,member,11.15,2
June,Sunday,casual,15.03333333,2
June,Sunday,member,10.25,2
June,Thursday,casual,11.79166667,2
June,Thursday,member,9.266666667,2
June,Tuesday,casual,10.91666667,2
June,Tuesday,member,8.866666667,2
June,Wednesday,casual,11.55,2
June,Wednesday,member,9.183333333,2
May,Friday,casual,12.08333333,2
May,Friday,member,8.8,2
May,Monday,casual,13.78333333,2
May,Monday,member,8.716666667,2
May,Saturday,casual,15.16666667,2
May,Saturday,member,9.93333333,2
May,Sunday,casual,16.43333333,2
May,Sunday,member,10.4,2
May,Thursday,casual,11.71666667,2
May,Thursday,member,9.083333333,2
May,Tuesday,casual,12.05,2
May,Tuesday,member,9.066666667,2
May,Wednesday,casual,11.13333333,2
May,Wednesday,member,8.916666667,2
August,Friday,casual,13.56666667,3
August,Friday,member,9.783333333,3
August,Monday,casual,12.05,3
August,Monday,member,9.083333333,3
